Jahr,Land,Schule,Klassenstufe,Klasse,Name,Team,Aufgabe,Punkte
2024,,,Schuljahre 9 und 10,ARJ,bczka,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,RPS,dxhym,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,RPS,kogle,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,RPS,xfbqc,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,CTP,wygzq,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,CTP,fvzbx,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,ARJ,kldhy,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,CTP,pfjoq,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,CTP,haqgj,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,CTP,rozkm,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,PTI,ftzeu,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,PTI,pleho,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,ARJ,qvbfl,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,ARJ,zqrtx,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,KVZ,nchfi,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,CTP,elaqw,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,RPS,ljtwe,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,PTI,utbsa,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,ARJ,ulkhx,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,PTI,dlyjp,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,ARJ,lquyb,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,KVZ,tfnro,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,RPS,uvbcr,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,ARJ,nefto,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,CTP,guqem,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,KVZ,xgbir,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,ARJ,lumfg,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,ARJ,kwngc,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,KVZ,lytmg,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,RPS,uchxi,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,PTI,vkbed,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,KVZ,ozncx,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,ARJ,lbdke,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,CTP,mkoxc,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,ARJ,qyxro,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,CTP,qhref,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,PTI,qoukw,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,PTI,lxdkq,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,KVZ,bfuzo,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,CTP,ylepd,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,RPS,rcnwh,,Ballon-Maschine,0
